Universal Intention Arts, Silver Thunderous Starlight Style, Evil Authority Form: Butterfly
Virtuous Fang Arts, Responsive Pattern Style, Old Plume Form: Six Coiling Nullification
Infernal Bird Arts, Talon Style, Smashing Scholar Form: Snakeform Revitalizing Moonlight
Equine Volcano Arts, Perfect Celestial Quick Style, Toxic Taihua Form: Grafting Enemy Confronting Chop
Spiraling Trail Arts, Spanning Windrider Style, Wounding Tongue Form: Forged Lotus
Many Tong Arts, Legged Diving Inferno Style, Overwash Form: Five-Fold Majestic Severing Veiled
Fatal Eruption Arts, Illuminated Style, Chin Form: Dual-Resonance Burning Formation
Consuming Sky Arts, Mysterious Equal Shift Style, Ladder Form: Dive Ensnaring Refraction
Vile Many Wild Destroyer Arts, Imperial Center Style, Saving Breakthrough Form: Giant Tong-Crushing Timberfall
Celestial Mighty Void Arts, Unified Capped Phaseless Style, Old Beast Form: Undivinable Unity Shifting Shard
Aquatic Refraction Arts, Illuminating Pure Advanced Style, Substitution Form: Dual-Energy Shattering Ink
Pure Consuming Sweeping Heavenhold Arts, Tidal Cardinal Lattice Style, Northern Fury Form: Giant Starlit-Linking Bone
Twin Many Violent Death Arts, Glacial Unified Exploding Style, Repents Form: Giant Kaleidoscope-Cutting Lake
Felling Apex Basic Sweep Arts, Demonic Cawing Fertile Style, Ladder Form: Dawn Swirling Sight
Deep Unshakable Splitting Dragontail Arts, Few True Shout Style, Exploding Pines Form: View of Trident
Serene Fatal Discipline Arts, Glacial Illuminated Style, Quick Guard Form: Viper of Polearm
Rising Qintfade Arts, Crystalline Protector Style, North Karmic Form: Dual-Range Leaping Energy
Encompassing Charging Gold Arts, Violent Calm Defensive Style, Grafting Sonic Sisi Form: Five-Fold Weapon Rising Tongue
Parallel Ancient Temper Arts, Expansive Ghostly Swift Style, Man Form: Triple Venom Falling Spirits
Flying Chaotic Endless Claw Arts, Skeletal Trigrams Style, Extended Beggar Form: Dual-Roars Carrying Sheet
Illuminating Kill Arts, Spiraling Encompassing Spanning Style, Wicked Chop Form: Advanced Veiled
Glacial Energy Arts, Absolute Piercer Style, Elegant Maiden Form: Limbo of the Aquatic Devil
Grounded Saving Charge Arts, Blooming Swift Style, Healing Technique Form: Life Cutting Cry
Consuming Boulder Arts, Old Repentant Parallel Style, Absolute Waning Weaver Form: Hawkstrider of Cosmos
Mighty Iron Heavenly Taming Arts, Sheet Style, Mad Downward Fairy Form: Transformations-Drifting Flying Massacre
Serene Holy Vibrant Arts, Hexablaze Style, Mysterious Stretched Form: Punch Confronting Sun
Devouring Feral Form Arts, Elemental Unshakable Single Style, Stunning Snakeform Form: Wraith-Counterattacking Hidden Contemplate
Devouring Talon Arts, Icy Avatar Style, Extended Sylvan Form: Giant Wraith-Matching Crush
Capped Smashing Cursed Blaze Arts, Extreme Avatar Style, Heartless Polearm Form: Six Rising Quanzhen
Spiritual Serpent Arts, Legged Fall Style, Full Illuminated Form: Graypine
Crimson Shard Arts, Magnanimous Western Grappling Style, Unrivaled Tai Form: Pierces Commanding Phaseless
Fatal Spirit Unified Volley Arts, Zen Style, Facing Omnidirectional Form: Marquis-Airsplitting Mysterious Assaliants
Spinning Inferno Arts, Killing Sinister Style, Cawing View Form: Manifestations of Piercer
Abyssal Burst Arts, Ripping Force Style, Adaptive Seeds Form: Hand
Elegant Granite Arts, Gallant Lost Style, Facing Sect Form: Dual-Phaseless Walking Heavenhold
Devouring Earthly Frozen Lotus Arts, Foxform Sui Style, Basic Beast Form: Vajrapani-Descending Shooting Specter
Coated Lost Arts, Corrupted Refraction Style, Blazing Fog Form: Dual-Kaleidoscope Paralizing Ascent
Bright Galaxy Arts, 53rd Grasp Style, Devastating Encompassing Authority Form: Body Paralyzing Sisi
Mirage Frozen Throwing Energy Arts, Secret Horse Style, Eagle Form: Vigor of the Hidden Form
Governing Storm Arts, Astral Spiraling Priest Style, Thunderous Trap Form: Triadic of the Quick Reflection
Gem Rebounding Deflection Arts, Mad Elemental Light Style, Kaleidoscope Form: Five-Fold Resolve Summoning Barrier
Imperial Gem Traditional Rampage Arts, Frosty Realm Style, Absolute Wheel Form: Chop
Waxing Soaring Scarlet Arts, Lake Style, Defensive Devastating Kill Form: Triple Embrace Grounding Team
Petal Condor Arts, Basic Nature Style, Malevolent Team Form: Martial Phenomena Twisting Archery
Sweeping Substitution Arts, Chariot Style, Elegant Divinities Form: Traditional Manipulation Sleeping Tree
Unshakable Nape Arts, Mystic Extended Bow Style, Repentant Volcano Form: Hunyuan-Searching Heartless Spirits
Primordial Universal Ripple Arts, Volcano Style, Few Domain Form: Weapon
Many Vedas Arts, Shooting Defiers Style, Dividing Wolf Form: Giant Pierces-Commanding Spring
Crimson Distinction Arts, Spiritual Ape Style, Traversing Surface Form: Enigma of the Vermillion Gate
Vile Unshakable Arching Bodhi Arts, Raptor Style, Bloodstained Primordial Sun Form: Fist-Ensnaring North Cavern
Crystalline Emerald Dark Bow Arts, Legged Sonic Poisons Style, Subduing West Form: North Enigma Slicing South
Enlightened Disruption Arts, Pine Style, Boundless Hidden Triadic Form: Parallel of the Absorption
Intoxicated Tai Arts, Killing Rampage Style, Man Form: Six Poking Skill
Fatal Shade Arts, Midsummer Sweep Style, Cold Butterfly Form: Six Stealing Suppression
Waning Continuous Unbounded Arts, Lower Flying Plate Style, Foundational Expansive Glide Form: Equal Cobra
Bronze Break Arts, Spearplay Style, Soaring Forged Proud Form: Vigor of the Grand Reaper
Advanced Counter Arts, Martial Tai Style, Indestructible Thunderclap Form: Cold Hawk Soaring Tranquil
Center Unforgiving Wild Thunderwake Arts, Felling Outward Living Style, Crush Form: Serene Latch Sleeping Book
Aquatic Volcanoes Arts, Nether Style, Cry Form: Horse of the Tipsy
Bronze Facing Quake Arts, Formless Bird Style, Encompassing Wandering Chaos Form: Mirror Shattering Instance
Gallant Radiance Arts, White Fox Style, Mystic Cardinal Eagle Form: Spiraling Wheel
Jade Radiant Onyx South Arts, Tidal Crazy Absolute Style, Harmonious Extinguishing Nullification Form: Continuous Strength Twisting Turtle
Killing Enlightened Lofty Arts, Aquatic Capped Ascending Style, Universal Heaven Form: Dual-Beasts Paralyzing Vigor
Dominating Polarm Arts, Fatal Solar Fiendish Style, Ripping Authority Form: Featherweight Marquis
Golden Soaring Roving Bat Arts, Waltz Style, Skeletal Swift Form: Dual-Vampire Resting Calamity
Radiant Volcanoes Arts, Dive Style, Heart Form: Whirling Hellfire Coiling Tipsy
Earthen Dividing Horse Arts, Imperial Unmatched Battalion Style, Bloodstained Traversing Reaper Form: Death
Ultimate Radiant Violent Triangle Arts, Center Parallel Arching Style, Deep Cold Fire Form: Dual-Ascension Walking Self
Embracing Giant Crossing Stride Arts, Moonlit Blossom Style, Final Elemental Emptiness Form: Warrior
Spiraling Scholar Arts, Firebrand Style, Boundless Crimson Opening Form: Giant Skills-Binding Road
Ascending Rightful Unshakable Domination Arts, White Aquatic Evil Style, Acala Form: Rising Turtleback Dodging Crows
Treading Proud Arts, Universal Tree Style, Mad Blessing Form: Latch of the Cold Repents
Poisonous Chop Arts, Continuous Mysterious Featherweight Style, Ripping Warmaster Form: Blade
Equal Pyrocascade Arts, Spiraling Aureate Enigma Style, Feral Bat Form: Angel of Mindscape
Dual Shadowy Arts, Cawing Wood Style, Diving Array Form: Mountian-Lunging Aureate Fang
Immortal Beasts Arts, Facing Infernal Traceless Style, Boundless Warfield Form: Six Shattering Mist
Magnanimous Elusive Equine Substitution Arts, Abyssal Enlightenment Style, Self Form: Six Going Way
Poisonous Titan Arts, Grappling Canyon Style, Yellow Court Form: Gate of the Vigor
Balanced Interference Arts, Endless Brush Style, Blessed Army Form: Karmic Dodging Mindless
Blessed Monastery Arts, Shooting Flying Harvest Style, Harmonious Spectral South Form: Fall of Frenzy
Cursed Grip Arts, Metallic Bloody Soul Style, Moon Form: Dual-Ruin Counterattacking Counter
Equine Wolf Arts, Apex Crazy Flying Style, Wandering Bolt Form: Giant Advent-Leaping Shout
Demonic Exchange Arts, Elusive Warmth Style, Immovable Form: Variation of Shout
Graceful Outward Pulse Arts, Spiraling Big Aquatic Style, Secret Waterfall Form: Total-Countering Ultimate Parallel
Traditional Divine Calm Dragon Arts, Spinning Tang Style, United Form: Dual-Wing Sleeping Swing
Snow Violent Diving Pines Arts, Grappling Vigor Style, Raptor Form: Virtuous Condor
Southern Defense Arts, Nomad Style, Featherweight Elbow Form: Five-Fold Illuminated Draining Wildfire
Crazy Striking Glow Arts, Cave Style, Wandering Pierce Form: Astral Arrows Resting Discipline
Unrivaled Drowned Arts, Penetrating Hands Style, Tai Form: Constellation of the Night
Whirling Virtuous North Triple Arts, Emerald Countless Thunderous Style, Felling Formation Form: Five-Fold Skills Transforming Shatter
Riding Double Vile Shadowy Arts, Fertile Condor Style, Sonic Dive Form: Finishing Asterism Tearing Circle
Exploding Shard Arts, Indestructible Immortal Hell Style, Graypine Form: Battlefield of Toxin
Equal Yellow Goldenring Arts, Unified Tipsy Style, Advanced Star Form: Twin Enlightenment Taking Tempo
Single Fatal Silent Arts, Enemies Style, Counter Form: Riding Flashes Stealing Serpent
Mad Penetrating Void Kings Arts, Obsidian Throwing Imperial Style, Solar Single Script Form: Dual-Avatar Ending Spin
Devouring Flame Arts, Obscure Rebounding Bright Style, Graceful Sudden Pulse Form: Giant Dawn-Ensnaring Eternal
Corrupted Fiery Breakout Arts, Spiritual Killing Wild Style, Ravenous Toxic Metal Form: Wraith-Gathering Devouring Bird
Wounding Gallant Meditation Arts, Empty Foundation Style, Divine Vedas Form: Dual-Might Dispersing Binder
Celestial Slash Arts, Extinguishing Extreme Aspects Style, Few Fate Form: Shade of the Transformations
Apex Poisonous Swing Arts, Ceremony Style, Healing Deep Creation Form: Light Matching Plume
Earthen Unrivaled Shout Arts, Grappling Scriptures Style, Cardinal Moonbeam Form: Elder-Following Crossing Quartet
Magnanimous Few Rolling Orthodox Arts, Feral Penetrating Traversing Style, Taihua Form: Exploding Chaos Emerging Ripple
Astral Basilisk Arts, Blooming True Roving Style, Moonlit Titan Form: Triple Shapeshifter Fighting Mental
Countless Dragontail Arts, Abyssal Deep Foundational Style, Calm Profound Hand Form: Hit of the Ethereal Instance
Foxform Elbow Arts, Assimilation Style, Moonlit Halo Form: Rends of Glow
Extreme Windrider Arts, Storms Style, Unshakable Many Realm Form: Dual-Thundershock Counterattacking Flame
Waxing Vedas Arts, Roving Condor Style, Unified Shower Form: Five-Fold Opposition Walking Circulation
Foundational Foxform Aegis Arts, Waning Volcano Style, Nails Form: Serpent Controlling Arhat
Spanning Hexablaze Arts, Twin Equal Burning Style, Quick Inferno Form: Mirror Sleeping Block
Unified Heart Arts, Wild Spring Style, Grand Spiritage Form: Six Transforming Principles
Venomous Skeletal Midsummer Arm Arts, Legged Vermillion Destiny Style, Mirage Energy Form: Five-Fold Bird Soothing Prism
Expansive Rock Arts, Liberated Equal Center Style, Single Stomp Form: Triple Zenith Observing Possession
Spinning Lance Arts, Thaw Style, Rightful Specter Form: Unity-Draining Mighty Waltz
Extinguishing Spearplay Arts, Rising Saving Grand Style, Quartet Form: Edge-Drifting 42nd Descent
Devouring Daybreak Arts, Northern Spirit Spinning Style, Tearing Heavenly Raptor Form: Icy Sky
Countless Perfusion Arts, Killing Earthquakes Style, Traditional Endless Beak Form: Dual-Sky Controlling South
Whirling Beast Arts, Western Fish Style, North Kill Form: Five-Fold Formation Descending Moonlight
Waning Claw Arts, Ghostly Chaotic Riddle Style, Intention Form: Dual-Thaw Airsplitting Enlightenment
Waning Crimson Finishing Crows Arts, Dawn Style, Rolling Limitless Unity Form: Latch of Warmth
Malevolent Phoenix Arts, Variation Style, Expansive Myriads Form: Unmatched Fortress
Solar Quanzhen Arts, Fatal Boxing Elegance Style, Unified Tea Form: Circulation of the Equine Latch
Sudden Brilliant Sufferings Arts, Righteous Chariot Style, Divine Riddle Form: Grand Vajrapani
Black Full Extra Technique Arts, Cutting Righteous Strike Style, Felling Ceremony Form: Projectile-Crouching Hidden Viper
Graceful Ravenous Bear Arts, Infernal Unforgiving Vigor Style, Cawing Surface Form: Five-Fold Veiled Tangled Saber
Mad Team Arts, Endless Nails Style, Breeze Form: Cut of the Treading Momentum
Expansive Fiend Arts, Feral Felling Wildfire Style, Ascending Malevolent Staff Form: Six Scorching Penetration
Whirling Coastal Mountainous Arts, Indestructible Celestial Center Style, Sage Form: Grand Pearlflower Conquering Reguard
Stunning Tipsy Arts, Ancient Striking Unforgiving Style, Spirit Mothers Form: Hail of the Heart
Center Tablet Arts, Abyssal Saber Style, Riding Flower Form: Six Dodging Spiritage
Divine Direction Arts, Charging Deep Gentle Style, Azure Astral Fang Form: Five-Fold Beast Airsplitting Illusion
Burning Defensive Paradise Arts, Ruin Style, Luminous Few Spiral Form: Triple Night Resting Pinnacle
Primordial Nothingness Arts, Vile Meditation Style, Body Form: Dual-Earth Swirling Skills
Downward Crane Arts, Harmonious Azure Domain Style, Consuming Spear Form: Dual-Trill Retreating Frenzy
Vermillion Flower Arts, Destructive Abyssal Unforgiving Style, Riding Resolve Form: Five-Fold Mirror Poking Ripple
Pure Devouring Reflect Arts, Spiraling Great Killing Style, Way Form: Encompassing Meditation
Drunken Daybreak Arts, Absolute Gorge Style, Mysterious Omnidirectional Form: Illuminated of Fall
Countless Ancient Coral Suffering Arts, Hellish Tremor Style, Monk Form: Primordial Angel Carrying Staff
Dual Horse Arts, Downward Infernal Encompassing Style, Demonic Mystery Form: Void Shaolin
Throwing Bronze Augmented Icebolt Arts, Ancient Statue Style, Aura Form: Five-Fold Crown Paralizing Refraction
Buddhist Vigor Arts, Augmented Pinnacle Style, Virtuous Boulder Form: Sky of the Scarlet
Featherweight Eruption Arts, Waxing West Style, Giant Bolt Form: Lotus-Linking Twin Incineration
Elegant Fire Arts, Twin Grace Style, Riding Soar Form: Giant Crushes-Retreating Taihua
Azure Blooming Total Arts, Gallant Breaker Style, Grace Form: Blossom Rising Millennium
Northern Vajrayana Arts, Unforgiving Sage Style, Repentant Vairocana Form: Disciple-Resisting Formless Edge
Divine Unified Way Arts, Lost Style, Holy Wraith Form: Phaseless-Counterattacking Unforgiving Death
Onyx Ancient Old Cinder Arts, Cosmic Skill Style, Invisible Merciful Flame Form: Five-Fold Substitution Dodging Fang
Skeletal Army Arts, Giant Cinder Style, Buddhist Midsummer Waltz Form: Mighty Ghost Matching Sound
Living Holy Ravenous Glacier Arts, Bow Style, Equine Center Vibrant Form: Army of Parallel
Corrupted Lower Legged Drop Arts, Profound Coated Salvation Style, Advanced Trill Form: Erupting Point
Boxing Illusory Range Arts, Iron View Style, Elements Form: Five-Fold Palm Going Fall
Vermillion Malevolent Crystalline Formation Arts, Ultimate Asura Style, Encompassing Touch Form: Fish of the Eternal Tail
Bright Fertile Binder Arts, Expansive Enigma Style, Heavenly Scale Form: Giant Contemplate-Dispersing Salvation
Sudden Coral Element Arts, Glacial Distinction Style, Diving Thousands Form: Illuminated of Polearm
Spanning Aegis Arts, Foundational Hunyuan Style, Grounded Team Form: Celestial Hawkstrider Transforming Form
Diving Earth Arts, Deep Dark Toxin Style, Spirit Fist Form: Spear of the Great Coil
Nefarious Wandering Necrotoxin Arts, Northern Expansive Enlightenment Style, Foxform Crows Form: Absorption Freezing Range
Foxform Cuts Arts, Flower Style, Spirit Hunyuan Form: Hawkstrider of the Breakout
Heavenly Giant Evil Flesh Arts, Elegant Snowfall Style, Undivinable Energy Form: Triple Ripple Dodging Taebaek
Foxform Beasts Arts, Aquatic Wandering Ancient Style, Arching Prelude Form: Six Counterattacking Thrust
Outward Team Arts, Flashes Style, Crossing Gate Form: Nail of Enlightenment
Exploding Creation Arts, Graceful Elbow Style, Rolling Thunderwake Form: Six Crouching Sufferings
Riding Volcano Arts, Few Nothingness Style, Extinguishing Gentle Bat Form: Meditation of the Ceremony
Embracing Cavern Arts, Quick Majestic Style, Noble Form: Fortress-Tangled Mystic Domination
Whirling Infinite Few Cry Arts, Deep Responsive Fiery Style, Giant Facing Warmaster Form: Six Resonating Range
Golden Gem Lance Arts, Slicing Soar Style, Western Embrace Form: Five-Fold Mothers Concealing Malignant
Coastal Deep Delights Arts, Bright Divinities Style, Corvid Pattern Form: Dual-Sun Searching Soul
Bloody Vermillion Weapon Arts, Unbounded Style, Gentle Walk Form: Soaring Daybreak Cutting Asterism
Poisonous Authority Arts, Balanced Harmonious Starlit Style, Elegant Warrior Form: Augmented Ghost Severing Grasp
Fiendish Treading Stunning Toil Arts, Dao Style, Riding Surface Form: Dual-Slip Stealing Zen
Dual Tea Arts, Coastal Shatters Style, Unified Execution Form: Giant Mindless-Confronting Asterism
Mysterious Crash Arts, Blister Style, Traversing Fire Form: Book of the Sonic Ruin
Shattering Secret Charging Arm Arts, Bronze Featherweight Sea Style, Governing Dance Form: Five-Fold Sisi Dispersing Noble
Bright Expansive Haunt Arts, Indestructible Emerald Undivinable Style, Palm Form: Weaver-Concealing Gallant Fortune
Full Legged Aquatic Poisons Arts, Finishing Pulse Style, Wild Crazy Opening Form: Deflection of the Single Thread
Many Mysterious Crossing Blessing Arts, Birthless Wave Style, Continuous Dipper Form: Flow of the Indestructible Vapor
Liberated Elemental Waning Penetration Arts, Wanderer Style, Devastating Harmonies Form: Style of Stalwart
Astral Starlit Arts, Sonic Sanctity Style, Spiraling Taihua Form: Phenomena
Liberated Spiral Arts, Scale Style, Formless Total Form: Expansive Shapeshifter Resisting Kaleidoscope
Riding Wave Arts, Drunken Unknowable Virtuous Style, Buddhist Expansive Contemplate Form: Riddle of Illusion
Unmatched Apex Tearing South Arts, Nefarious Crane Style, Emergence Form: Grappling Nether
Spiritual Swan Arts, Dark Eagle Style, Hellish Mountian Form: Giant Trill-Emerging Trail
Blooming Treading Devastating Clouds Arts, Infiltration Style, Ancient Grappling Path Form: Giant Circle-Taking Remains
Fiendish Destiny Arts, Universal Bone Style, Earthly Death Form: Dual-Cobra Twisting Split
Toxic Movement Arts, Foundational Single Blazing Style, Taebaek Form: Butterfly of the Discipline
Sacred Motion Arts, Formless Ash Style, Transformation Form: Bodhi-Sharpening Moonlit Advent
Sudden Quell Arts, Moonlit Form Style, Void Kindled Form: Pattern
Riding Trinity Arts, Onyx Venomous Northern Style, Sudden Order Form: Giant Bat-Unwavering Dipper
Icy Burning Change Arts, Subduing Heat Style, Unparalleled Sweeping Veil Form: Dual-Titan Sharpening Waltz
Devastating Responsive Chop Arts, Grand Warmaster Style, Coastal Glacial Toxin Form: Immovable of the Illuminating Leech
Parallel Killer Arts, Repelling Projectile Style, Blooming Mindscape Form: Protector of the Coastal Tundra
Dark Vampire Arts, Flying Shadow Capped Style, Deep Tipsy Form: Death Draining Marquis
Unforgiving Sections Arts, Movement Style, Big Court Form: Severance of the Yin
Soaring Trident Arts, Embracing Fertile Bloody Style, Malevolent Vitality Form: Feral Stealth Severing Shaft
Destructive Soul Arts, Advanced Intoxicated Chariot Style, Immortal Hail Form: Waves of the Nullification
Undivinable Sealing Felling Technique Arts, Solar Sound Style, Ultimate Destructive Transparency Form: Six Gathering Net
Diving Whip Arts, Descending Infiltration Style, Primordial Marquis Form: Triple Mist Raining Mountainous
Spectral Gate Arts, Full Adaptive Flying Style, Legged Flare Form: Dual-Judgment Ensnaring Salvation
Skeletal Killing Twin Water Arts, Foundational Long Style, Descending Night Form: Five-Fold Destruction Traveling Horse
Birthless Sudden Bloodstained Taebaek Arts, Unparalleled Assault Style, Cardinal Maiden Form: Bloodthristy Siege Traversing Explosion
Unknowable Spirit Augmented Manifestations Arts, Truth Style, Mystic Rain Form: Triangle of the Charge
Corvid Continuous Snow Polearm Arts, Limitless Plume Style, Corrupted Soaring Grip Form: Dual-Prajna Stealing Path
Traceless Countless Stab Arts, Ascending Spiritage Style, Silver Dominating Daoist Form: Giant Rotation-Tangled Paradise
Blessed Shattering Iron Shift Arts, Cobra Style, Absolute Skill Form: Ursine of Leaves
Indestructible Dragontail Arts, Giant Awakening Style, Blessing Form: Giant Penetration-Poking Wraith
Calm Staff Arts, Legged Echo Style, Pounce Form: Stab of the Birthless Torment
Repentant Venom Arts, Yellow Violent Sanctity Style, Dividing Adaptive Intention Form: View-Feinting Skeletal Tremor
Charging Consecutive Bloodstained Arrows Arts, Malevolent Delights Style, Fading Yellow Elegance Form: Scarlet of the Net
Corrupted Goldenring Arts, Venom Style, Balanced Chain Form: Defensive Essence Fighting Mystery
Pure Subduing Unshakable Reflection Arts, Full Poisonous Crusher Style, Invisible Moonbeam Form: Star of the Healing Monastery
Extinguishing Song Arts, Graceful Many Soaring Style, Vermillion Shield Form: Coated Bound
Celestial Secret Divinities Arts, Healing Pearl Style, Astral Capped Warmaster Form: Giant Tail-Binding Nullification
Ripping Fall Arts, Snow Zen Style, Forged Starlit Form: Crown
Boundless Bright Holy Vigor Arts, Cardinal Sutra Style, Warrior Form: Quick of the Healing Sweetened
Dominating Prestissimo Arts, Seeds Style, United Form: Triple Battalion Soothing Aegis
Nefarious Windrider Arts, Fatal Unrivaled Martial Style, Coil Form: Six Slicing Pines
Intoxicated Monastery Arts, Parallel Fiendish Advent Style, Waxing Cardinal King Form: Fortune of Shaolin
Dark Foxform Consciousness Arts, True Elegance Style, Absolute Spirits Form: Plague of Trigrams
Adamantine Rage Arts, Monastery Style, Shapeshifter Form: Dual-Fiend Retreating Prestissimo
Legged Flow Arts, Rightful Sharpened Style, Intention Form: Dual-Elements Stopping Total
Ripping Mad Needle Arts, Center Icebolt Style, Current Tundra Form: Obscure North
Consuming Forest Arts, Continuous Scale Style, Blood Form: Five-Fold Bind Revitalizing Breakout
Poisonous Enlightened Formless Sheet Arts, Fertile Pear Style, Exploding Stunning Warriors Form: Five-Fold Wing Shaking Tong
Frozen Gateways Arts, Constellation Style, Distinction Form: Sonic Lightweight Blowing Surface
Frozen Erupting Cosmic Piercer Arts, Invisible True Leap Style, Absolute Equal Curse Form: Haunt-Tangled Extinguishing Pear
Cosmic Leech Arts, Grand Dividing Thunderclap Style, Extinguishing Domain Form: Six Ascending Aspects
Smashing Dawn Arts, Martial Priest Style, Feral Hell Form: Five-Fold Sun Going Life
Corvid Snowlocked Arts, Lake Style, Double Height Form: Six Blowing Center
Dual Night Arts, Mothers Style, Pure White Vedas Form: Waxing Archery Resting Weapon
Calm Grappling Infinite Burst Arts, Intoxicated Glow Style, Stance Form: Six Paralizing Eruption
99th Center Shadowy Arts, Feral Eruption Style, Hidden Shell Form: Malignant-Soaring Fatal Warmaster
White Nefarious Omnidirectional Arts, Many Void Return Style, Exploding Tongue Form: Hand of Frontier
Azure Consciousness Arts, Bloodthristy Things Style, Defensive Tea Form: Interference-Resisting Living Space
Facing Shooting Sanctum Arts, Holy Current Snakeform Style, Sealing Yang Form: Five-Fold Array Falling Quick
Cold Mount Arts, Felling Destiny Style, Coral Gallant Spiritage Form: Triple Snowfall Ascending Latch
Magnanimous Crystalline Heaven Arts, Undivinable Fairy Style, Bright Pounce Form: Chackra Transforming Ursine
Corrupted Vajrayana Arts, Illuminating Divinities Style, Consecutive Hoarforst Form: Triple Thread Cutting Orthodox
Traversing Creation Arts, Protective Weaver Style, Final Poison Form: Swarm of the Dominating Stride
Bloodstained Polarm Arts, Illuminating Calm Blaze Style, Wandering Intent Form: Giant Emptiness-Attacking Gateways
Arching Prelude Arts, Intent Style, Gallant Polearm Form: Dual-Fiend Soothing Wraith
Erupting Thunderwake Arts, Thousands Style, Cardinal Trigrams Form: Triangle of Devil
Rolling Nefarious Ceremony Arts, Aureate Twin Motion Style, Malevolent Patriarch Form: Salvation
Immortal Toxin Arts, Bloodstained Frozen Dividing Style, Extended Millennium Form: Five-Fold Fiend Sleeping Resonance
Heartless Bloodstained Double Heat Arts, Finishing Commander Style, Ripping Fleeting Net Form: Plume of the Blessing
Imperial Touch Arts, Repelling Switch Style, Stellar Zen Form: Mirrored
Riding Exchange Arts, Responsive Elemental Cobra Style, Trill Form: Trial of the Misty
Emerald Stellar Stroke Arts, Boundless Tablet Style, Binder Form: Six Traveling Martyr
Stunning Wrath Arts, Beasts Style, Yellow Inferno Form: Light of the Thrust
Healing Sanctum Arts, Obsidian Crimson Grand Style, Dividing Saber Form: Giant Mistveil-Tangled Legs
Equal Traceless Arts, Encompassing Foxform Living Style, Corvid Devastation Form: Giant Earthquakes-Blowing Exorcism
Elusive Outward Rising Blossom Arts, Whirling Apex Nefarious Style, Breakout Form: Radiant Bound
Splitting White Malevolent Woodland Arts, Crossing Nail Style, Cardinal Felling Rampage Form: Five-Fold Clarity Cutting Ripple
Hidden Heartless Full Clouds Arts, Obscure Diving Unveiled Style, Ascent Form: Six Descending United
Stunning Warfield Arts, Silent Style, Bloodthristy Crusher Form: Tipsy of Spiritage
Heartless Distinction Arts, Shattering Heaven Style, Forged Skull Form: Cloud-Surging Mysterious Heritage
Saving Death Arts, Traditional Stomp Style, Harmonious Spear Form: Virtuous Polarm Confronting Brush
Intoxicated Northern Spanning Millennium Arts, Elegant Tearing Spin Style, Lower Authority Form: Polarm-Leaping Secret Depth
Spirit Frontier Arts, Emerald Pierces Style, Shooting Reaper Form: Cleave of the Pure Quick
Coated Polarm Arts, Devouring Lord Style, Mirage Instance Form: Prism of the Striking Blood
Earthen Earthly Countless Way Arts, Mirror Style, Glow Form: Whirling Nape Gathering Decree
Wild Stellar Hunyuan Arts, Double Repelling Fiendish Style, Deep Wing Form: Five-Fold Wall Stopping Trill
Eastern Gust Arts, Fleeting Ancient Parallel Style, Rising Nebula Form: Triple Toil Coiling Sonata
Twin Cosmic Quick Plate Arts, Advanced Sword Style, Unbound Form: Height of the Elbow
Empty Frozen Equine Coil Arts, Toxic Unparalleled Glacial Style, Calm Cage Form: Dual-View Soothing Defense
Deep Profound Unknowable Noble Arts, Roving Elbow Style, Emerald Toil Form: Six Airsplitting Beast
Capped Wrath Arts, Adamantine Direction Style, Chin Form: Shaolin Piercing Stealth
Unrivaled Stab Arts, Crazy Posture Style, Exorcism Form: Mind of the Depth
Invisible Maiden Arts, Variation Style, Wounding Divine Domain Form: Bear-Shattering Whirling Enigma
Basic Moonlight Arts, Great Rightful Steel Style, Heartless Stance Form: Giant Sound-Tangled Frenzy
Capped Radiant Thousands Arts, Dark Extreme Chackra Style, Light Form: Lake of Trident
Coated Old Whirling Storm Arts, Stellar Spiritual Mindless Style, Rightful Kill Form: United Paralyzing Truth
Emerald Marquis Arts, Killing Endless Stab Style, Eastern Fate Form: Binder of the Consecutive Plume
Midsummer Erupting Evil Heavenhold Arts, Martial Devouring Trigrams Style, Waxing Foxform Viper Form: Majestic-Leaping Stunning Momentum
Big Pillar Arts, Splitting Void Interference Style, Full Flash Form: Enigma Drifting Change
Solar Transformation Arts, Serene Claw Style, Harmonious Raptor Form: Six Taking Hell
Defensive Leaf Arts, Venomous Court Style, Old Deep South Form: Six Draining Form
Dark Cyclone Arts, Petal Treading Sect Style, Spiritage Form: Deity of the Starlit
Shattering Iron Smashing Incineration Arts, Foxform Equine Prelude Style, Destructive Pillar Form: Hand of Ink
Gem Unshakable Responsive Galaxy Arts, Descending Magnanimous Qintfade Style, Protective Ape Form: Five-Fold Cove Fighting Sage
Ascending Cuts Arts, Midsummer Invisible Hawkstrider Style, Governing Formless Raven Form: Five-Fold Star Summoning Slash
Onyx Creation Arts, Gallant Soaring Punch Style, Reflect Form: Thunderwake
Liberated Unrivaled Severance Arts, Unveiled Style, Divine Waltz Form: Coated Mindscape
Fiendish Perfect Blister Arts, Featherweight Vine Style, Assaliants Form: Triple Shadowless Stealing Man
Striking Aquatic Devastating Explosion Arts, Embrace Style, Consonance Form: Dipper of the Resolve
Stellar Mastery Arts, Indestructible Radiant North Style, Cloak Form: Triple Madness Soothing Technique
